pair,stem_width,stem_height,first_flower_day,fruits_number,fruit_length,fruit_diameter,fruit_weight,seeds_number,yield
ind_1_ind_25,0.839,0.622,0.9623,0.9936,0.8542,0.6,0.5156,0.8661,0.6343
ind_1_ind_26,0.9429,0.8583,0.6226,0.9952,0.9584,0.8136,0.7695,0.7455,0.9713
ind_1_ind_27,0.9325,0.9055,0.9434,0.992,0.9834,0.8508,0.9294,0.9328,0.6545
ind_1_ind_28,0.9377,1.0,0.9057,0.9952,0.9794,0.9729,0.9996,0.8982,0.7974
ind_1_ind_29,0.9325,0.9134,0.8679,0.9976,0.9731,0.7525,0.8797,0.7813,0.8512
ind_1_ind_30,0.8364,0.9055,1.0,0.9968,0.8891,0.8441,0.8691,0.983,0.9534
ind_1_ind_31,0.9948,0.9843,0.9434,0.9992,0.9485,0.7864,0.8668,0.8643,0.9598
ind_1_ind_32,0.9714,0.9685,0.8491,0.9992,0.9929,0.8034,0.8248,0.9642,0.883
ind_1_ind_33,0.9688,0.9843,0.9643,0.9952,0.891,0.9797,0.8404,0.8171,0.6775
ind_1_ind_34,0.9169,0.9921,0.9245,0.9936,0.8609,0.9966,0.8777,0.6719,0.7061
ind_1_ind_35,0.9013,0.9134,1.0,0.9952,0.9683,0.8644,0.966,0.9283,0.8072
ind_1_ind_36,0.9688,0.9528,0.9057,0.9976,0.8784,0.9831,0.913,0.8228,0.8436
ind_1_ind_37,0.9792,0.8346,1.0,0.9976,0.9592,0.7898,0.8912,0.917,0.8557
ind_1_ind_38,0.9273,0.9921,0.9811,0.9984,0.8237,0.7932,0.962,0.7851,0.91
ind_1_ind_39,0.8649,0.7165,1.0,0.9984,0.9584,0.8271,0.9018,0.9943,0.991
ind_1_ind_40,0.8831,0.7165,0.9434,0.9936,0.8487,0.9119,0.8439,0.7436,0.6004
ind_1_ind_41,0.5299,0.685,0.7813,0.472,0.2064,0.1763,0.1718,0.4209,0.8397
ind_1_ind_42,0.9948,0.6929,0.7358,0.381,0.204,0.139,0.1683,0.4209,0.8461
ind_1_ind_43,0.7429,0.7087,0.7925,0.381,0.2191,0.1661,0.169,0.4209,0.8261
ind_1_ind_44,0.8442,0.9528,0.8302,0.6813,0.206,0.1525,0.1674,0.4209,0.8555
ind_1_ind_45,0.6545,0.748,0.6604,0.9345,0.2005,0.1356,0.1644,0.4209,0.6187
ind_1_ind_46,0.4909,0.6535,0.9057,0.4393,0.1989,0.1458,0.1672,0.4209,0.9336
ind_1_ind_47,0.6312,0.5669,0.7925,0.2308,0.2092,0.1356,0.1677,0.3552,0.7269
ind_1_ind_48,0.3714,0.8031,0.7925,0.5631,0.2029,0.1797,0.1665,0.4446,0.9425
ind_1_ind_49,0.8883,0.9055,0.8868,0.5495,0.208,0.1593,0.1684,0.4197,1.0
ind_1_ind_50,0.6935,0.7165,0.8302,0.7612,0.2167,0.1254,0.1645,0.3281,0.7493
ind_1_ind_51,0.7714,0.622,0.7813,0.8938,0.2044,0.1458,0.1681,0.4333,0.6701
ind_1_ind_52,0.574,0.748,0.6038,0.6957,0.1981,0.1559,0.1695,0.4219,0.8775
ind_1_ind_53,0.813,0.4724,0.9057,0.5535,0.2056,0.0915,0.1653,0.405,0.9232
ind_1_ind_54,0.7584,0.8425,0.6415,0.6901,0.2072,0.1627,0.1695,0.4706,0.8833
ind_1_ind_55,0.6416,0.8189,0.6226,0.5024,0.2021,0.139,0.1645,0.4209,0.9463
ind_1_ind_56,0.2597,0.9213,0.7925,0.7324,0.2092,0.1288,0.1672,0.4355,0.8072
ind_1_ind_57,0.8442,0.6929,0.8302,0.3786,0.2052,0.139,0.1661,0.4209,0.9125
ind_1_ind_58,0.4494,0.6457,0.7547,0.6014,0.2009,0.1458,0.1676,0.4209,0.933
ind_1_ind_59,0.6234,0.9764,0.7358,0.0104,0.2211,0.1356,0.1695,0.4209,0.4382
ind_1_ind_60,0.9117,0.8268,0.7813,0.8658,0.2135,0.1559,0.1699,0.4209,0.7086
ind_1_ind_61,0.6519,0.5039,0.7813,0.893,0.1894,0.1424,0.1608,0.4209,0.629
ind_1_ind_62,0.9429,0.7402,0.717,0.5623,0.2147,0.1695,0.1713,0.4209,0.9501
ind_1_ind_63,0.6156,0.9528,0.7813,0.9792,0.2044,0.1458,0.1667,0.4209,0.5886
ind_1_ind_64,0.9792,0.6693,0.6415,0.7524,0.2044,0.1458,0.1667,0.4209,0.7837
ind_1_ind_65,0.3922,0.5906,0.7813,0.9161,0.2096,0.1763,0.163,0.4209,0.6256
ind_1_ind_66,0.6052,0.5512,0.8491,0.3243,0.2143,0.1593,0.1691,0.4209,0.765
ind_1_ind_67,0.7403,0.811,0.9245,0.6502,0.1953,0.1119,0.164,0.4209,0.8241
ind_1_ind_68,0.7896,0.6535,0.6415,0.8203,0.1973,0.1322,0.1665,0.4265,0.7242
ind_1_ind_69,0.8234,0.8425,0.7813,0.9912,0.1763,0.139,0.1596,0.414,0.5626
ind_1_ind_70,0.6675,0.9055,0.8302,0.5759,0.2092,0.1458,0.1658,0.4344,0.9177
ind_1_ind_71,0.9481,0.8898,0.7925,0.3658,0.2032,0.1288,0.1653,0.4378,0.9304
ind_1_ind_72,0.9766,0.8268,0.7547,0.3786,0.1993,0.122,0.1645,0.4559,0.9631
ind_1_ind_73,0.7039,0.9764,0.8491,0.7149,0.2124,0.1695,0.1679,0.431,0.8337
ind_1_ind_74,0.8753,0.7402,0.7813,0.0527,0.1957,0.1492,0.1638,0.4209,0.7476
ind_1_ind_75,0.4468,0.8583,0.9245,0.5535,0.206,0.1492,0.1683,0.4209,0.9926
ind_1_ind_76,0.7247,0.5748,0.717,0.4657,0.206,0.1186,0.1668,0.4209,0.9629
ind_1_ind_77,0.4805,0.8898,0.8868,0.3075,0.1858,0.139,0.1681,0.4209,0.7849
ind_1_ind_78,0.6909,0.8898,0.7547,0.5312,0.2017,0.1695,0.1679,0.4209,0.9948
ind_1_ind_79,0.8701,0.6724,0.5283,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_80,0.9844,0.8071,0.7736,0.9992,0.227,0.7051,0.2652,0.4344,0.6261
ind_1_ind_81,0.9221,0.8898,0.8491,0.9928,0.1866,0.6678,0.2374,0.474,0.5757
ind_1_ind_82,0.8857,0.937,0.9811,0.9928,0.1945,0.5458,0.2197,0.6041,0.5729
ind_1_ind_83,0.9403,0.8268,0.8113,0.9912,0.227,0.7763,0.3271,0.819,0.5759
ind_1_ind_84,0.8364,0.685,0.2453,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_85,0.9403,0.7402,0.8491,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_86,0.9221,0.748,0.5283,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_87,0.9766,0.9331,0.5283,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_88,0.8468,0.8898,0.8679,0.9912,0.2266,0.9492,0.3979,0.5285,0.5815
ind_1_ind_89,0.8831,0.7677,0.4151,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_90,0.8519,0.9803,0.9811,0.984,0.2872,0.9695,0.4439,0.5285,0.947
ind_1_ind_91,0.9273,0.8976,0.6792,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_92,0.8468,0.7756,0.9057,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_93,0.9844,0.9213,0.5283,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_94,0.9377,0.8307,0.6415,0.992,0.2219,0.7695,0.2891,0.5192,0.5784
ind_1_ind_95,0.987,0.7953,0.3962,0.9904,0.2203,0.5627,0.2413,0.3722,0.5654
ind_1_ind_96,0.8935,0.7795,0.1509,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_97,0.9351,0.7795,0.8491,0.9976,0.2302,0.6475,0.2622,0.3722,0.6333
ind_1_ind_98,0.9532,0.7772,0.5849,0.992,0.2417,0.7085,0.2794,0.44,0.5772
ind_1_ind_99,1.0,0.878,0.566,0.9904,0.2282,0.7085,0.282,0.4683,0.567
ind_1_ind_100,0.9922,0.8937,0.8491,0.9912,0.2298,0.5492,0.2413,0.4683,0.5691
ind_1_ind_101,1.0,0.9016,0.7547,0.9944,0.204,0.6102,0.2493,0.6097,0.5855
ind_1_ind_102,0.9325,0.8819,0.8491,0.9968,0.2468,0.8034,0.3112,0.5285,0.6195
ind_1_ind_103,0.8623,0.6929,0.6981,0.9928,0.2096,0.6373,0.2498,0.3891,0.5777
ind_1_ind_104,0.9636,0.8504,0.4717,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_105,0.8779,0.8031,0.8302,0.9912,0.2536,0.8068,0.3422,0.6663,0.5771
ind_1_ind_106,0.9896,0.7795,0.3396,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_107,0.9714,0.7205,0.717,0.9904,0.2575,0.8102,0.3687,0.6437,0.5705
ind_1_ind_108,0.9351,0.7598,0.4906,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_109,0.8026,0.685,0.6792,0.9928,0.2013,0.8983,0.3156,0.638,0.5881
ind_1_ind_110,0.9403,0.7402,0.2642,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_111,0.8052,0.6457,0.7547,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_112,1.0,0.8504,0.5283,0.9896,0.2278,0.7288,0.2953,0.5285,0.5618
ind_1_ind_113,0.8753,0.6811,0.8491,0.9976,0.212,0.7085,0.2679,0.5136,0.6088
ind_1_ind_114,0.7844,0.5276,0.4906,0.9904,0.2512,0.7966,0.3156,0.5532,0.5684
ind_2_ind_3,0.9818,0.9606,0.6604,0.9992,0.7108,0.6441,0.486,0.3382,0.8033
ind_2_ind_4,0.9558,0.9528,0.9811,0.9976,0.8594,0.9864,0.9731,0.9548,0.9117
ind_2_ind_5,0.9948,0.9213,0.9811,0.9976,0.9933,0.8983,0.8947,0.9114,0.9239
ind_2_ind_6,0.9896,0.9843,0.9811,0.996,0.9822,0.9661,0.8638,0.9032,0.853
ind_2_ind_7,0.9351,0.8976,0.9434,0.9984,0.9889,0.9729,0.928,0.9032,0.9012
ind_2_ind_8,0.9636,0.9843,0.9434,0.9992,0.8348,0.8407,0.7758,0.8454,0.9449
ind_2_ind_9,0.9221,0.8425,0.9434,0.9976,0.9041,0.8847,0.8632,0.9246,0.8338
ind_2_ind_10,0.9065,0.8031,0.9057,1.0,0.7603,0.8915,0.8625,0.9114,0.9509
ind_2_ind_11,0.9714,0.8976,1.0,1.0,0.9168,0.9322,0.9439,0.9576,0.98
ind_2_ind_12,0.987,0.874,0.9811,0.9968,0.9426,0.9119,0.9292,0.9548,0.8791
ind_2_ind_13,0.9247,0.8583,0.9811,0.996,0.8494,0.8034,0.9283,0.9293,0.7916
ind_2_ind_14,0.9351,0.9843,0.9832,0.9952,0.9148,0.9932,0.9443,0.8529,0.7645
ind_2_ind_15,0.9013,0.8898,0.9832,0.9936,0.8962,0.9898,0.9154,0.9067,0.6733
ind_2_ind_16,0.9714,0.7559,0.9811,0.9952,0.7338,0.9763,0.8714,0.621,0.7824
ind_2_ind_17,0.9506,0.9685,0.9811,0.9976,0.9754,0.9627,0.9094,0.9208,0.8773
ind_2_ind_18,0.9351,0.8976,0.9811,0.9976,0.9671,0.8712,0.9614,0.9699,0.8805
ind_2_ind_19,0.9688,0.9213,0.9811,0.9992,0.8962,0.9017,0.8873,0.7323,0.989
ind_2_ind_20,0.9247,0.9055,0.9811,0.9976,0.9239,0.8271,0.9466,0.9114,0.9243
ind_2_ind_21,0.9403,0.7953,0.8302,0.9984,0.7405,0.7729,0.5347,0.9032,0.8035
ind_2_ind_22,0.8987,0.9685,0.9811,0.9968,0.8546,0.8508,0.8245,0.8586,0.9556
ind_2_ind_23,0.9662,0.9213,0.9434,0.9984,0.8494,0.878,0.7629,0.7285,0.9641
ind_2_ind_24,0.9636,0.9528,0.9811,0.9992,0.7076,0.6203,0.5819,0.9774,0.868
ind_2_ind_25,0.8805,0.6535,0.9811,0.9968,0.7801,0.7051,0.5152,0.7021,0.769
ind_2_ind_26,0.9013,0.8268,0.6415,0.992,0.8843,0.9186,0.7691,0.9095,0.8366
ind_2_ind_27,0.974,0.874,0.9623,0.9952,0.9093,0.9559,0.9291,0.9032,0.7892
ind_2_ind_28,0.8961,0.9685,0.9245,0.992,0.9465,0.922,1.0,0.9378,0.6627
ind_2_ind_29,0.974,0.8819,0.8868,0.9992,0.899,0.8576,0.8793,0.9453,0.9859
ind_2_ind_30,0.7948,0.874,0.9811,0.9936,0.815,0.9492,0.8687,0.819,0.8187
ind_2_ind_31,0.9636,0.9528,0.9623,0.996,0.8744,0.8915,0.8664,0.9717,0.9055
ind_2_ind_32,0.987,1.0,0.8302,0.9976,0.9188,0.9085,0.8245,0.8718,0.9823
ind_2_ind_33,0.9273,0.9843,0.9832,0.992,0.9651,0.9153,0.8408,0.9812,0.5428
ind_2_ind_34,0.9584,0.9764,0.9434,0.9968,0.7868,0.8983,0.8774,0.836,0.8408
ind_2_ind_35,0.9429,0.9449,0.9811,0.9984,0.8942,0.9695,0.9664,0.9076,0.9419
ind_2_ind_36,0.9273,0.9213,0.9245,0.9944,0.9525,0.9119,0.9133,0.9868,0.7089
ind_2_ind_37,0.9792,0.8661,0.9811,0.9992,0.8851,0.8949,0.8908,0.753,0.9904
ind_2_ind_38,0.9688,0.9606,1.0,0.9952,0.8978,0.8983,0.9623,0.621,0.7753
ind_2_ind_39,0.8234,0.685,0.9811,0.9952,0.8843,0.9322,0.9015,0.8416,0.8563
ind_2_ind_40,0.8416,0.685,0.9623,0.9904,0.9227,0.9831,0.8443,0.9076,0.4657
ind_2_ind_41,0.4883,0.6535,0.8002,0.4688,0.1323,0.2814,0.1714,0.2568,0.705
ind_2_ind_42,0.9532,0.6614,0.7547,0.3778,0.13,0.2441,0.1679,0.2568,0.7114
ind_2_ind_43,0.7013,0.6772,0.8113,0.3778,0.145,0.2712,0.1686,0.2568,0.6914
ind_2_ind_44,0.8026,0.9843,0.8491,0.6781,0.1319,0.2576,0.167,0.2568,0.9902
ind_2_ind_45,0.613,0.7795,0.6792,0.9313,0.1264,0.2407,0.164,0.2568,0.7534
ind_2_ind_46,0.4494,0.622,0.9245,0.4361,0.1248,0.2508,0.1668,0.2568,0.7989
ind_2_ind_47,0.5896,0.5354,0.8113,0.2276,0.1351,0.2407,0.1674,0.1912,0.5922
ind_2_ind_48,0.3299,0.7717,0.8113,0.5599,0.1288,0.2847,0.1661,0.2805,0.9228
ind_2_ind_49,0.8468,0.874,0.9057,0.5463,0.1339,0.2644,0.1681,0.2557,0.8653
ind_2_ind_50,0.6519,0.685,0.8491,0.758,0.1426,0.2305,0.1642,0.164,0.884
ind_2_ind_51,0.7299,0.5906,0.8002,0.8906,0.1303,0.2508,0.1677,0.2692,0.8048
ind_2_ind_52,0.5325,0.7165,0.6226,0.6925,0.124,0.261,0.1691,0.2579,0.9879
ind_2_ind_53,0.7714,0.4409,0.9245,0.5503,0.1315,0.1966,0.1649,0.241,0.9421
ind_2_ind_54,0.7169,0.811,0.6604,0.6869,0.1331,0.2678,0.1691,0.3066,0.982
ind_2_ind_55,0.6,0.7874,0.6415,0.4992,0.128,0.2441,0.1642,0.2568,0.919
ind_2_ind_56,0.2182,0.8898,0.8113,0.7292,0.1351,0.2339,0.1668,0.2715,0.9419
ind_2_ind_57,0.8026,0.6614,0.8491,0.3754,0.1311,0.2441,0.1658,0.2568,0.7779
ind_2_ind_58,0.4078,0.6142,0.7736,0.5982,0.1268,0.2508,0.1672,0.2568,0.9323
ind_2_ind_59,0.5818,0.9449,0.7547,0.0072,0.147,0.2407,0.1691,0.2568,0.3035
ind_2_ind_60,0.9532,0.7953,0.8002,0.8626,0.1395,0.261,0.1695,0.2568,0.8433
ind_2_ind_61,0.6104,0.4724,0.8002,0.8898,0.1153,0.2475,0.1605,0.2568,0.7637
ind_2_ind_62,0.9844,0.7087,0.7358,0.5591,0.1406,0.2746,0.1709,0.2568,0.8155
ind_2_ind_63,0.574,0.9843,0.8002,0.976,0.1303,0.2508,0.1663,0.2568,0.7233
ind_2_ind_64,0.9377,0.6378,0.6604,0.7492,0.1303,0.2508,0.1663,0.2568,0.9184
ind_2_ind_65,0.3506,0.5591,0.8002,0.9129,0.1355,0.2814,0.1626,0.2568,0.7602
ind_2_ind_66,0.5636,0.5827,0.8679,0.3211,0.1403,0.2644,0.1688,0.2568,0.6303
ind_2_ind_67,0.7818,0.7795,0.9434,0.647,0.1212,0.2169,0.1637,0.2568,0.9587
ind_2_ind_68,0.7481,0.622,0.6604,0.8171,0.1232,0.2373,0.1661,0.2624,0.8589
ind_2_ind_69,0.7818,0.811,0.8002,0.9944,0.1022,0.2441,0.1592,0.25,0.6973
ind_2_ind_70,0.626,0.874,0.8491,0.5727,0.1351,0.2508,0.1654,0.2704,0.9476
ind_2_ind_71,0.9065,0.8583,0.8113,0.3626,0.1292,0.2339,0.1649,0.2738,0.7957
ind_2_ind_72,0.9351,0.7953,0.7736,0.3754,0.1252,0.2271,0.1642,0.2919,0.8284
ind_2_ind_73,0.6623,0.9449,0.8679,0.7117,0.1383,0.2746,0.1676,0.267,0.9684
ind_2_ind_74,0.8338,0.7087,0.8002,0.0495,0.1216,0.2542,0.1635,0.2568,0.6129
ind_2_ind_75,0.4052,0.8268,0.9434,0.5503,0.1319,0.2542,0.1679,0.2568,0.8727
ind_2_ind_76,0.6831,0.5433,0.7358,0.4625,0.1319,0.2237,0.1665,0.2568,0.8283
ind_2_ind_77,0.439,0.8583,0.9057,0.3043,0.1117,0.2441,0.1677,0.2568,0.6502
ind_2_ind_78,0.6494,0.8583,0.7736,0.528,0.1276,0.2746,0.1676,0.2568,0.8602
ind_2_ind_79,0.9117,0.7039,0.5472,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_80,0.9429,0.8386,0.7925,0.996,0.1529,0.8102,0.2649,0.2704,0.7608
ind_2_ind_81,0.9636,0.9213,0.8679,0.996,0.1125,0.7729,0.2371,0.31,0.7104
ind_2_ind_82,0.8442,0.9685,1.0,0.996,0.1204,0.6508,0.2194,0.44,0.7076
ind_2_ind_83,0.8987,0.8583,0.8302,0.9944,0.1529,0.8814,0.3268,0.655,0.7105
ind_2_ind_84,0.8779,0.7165,0.2642,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_85,0.9818,0.7717,0.8679,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_86,0.9636,0.7795,0.5472,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_87,0.9351,0.9646,0.5472,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_88,0.8052,0.9213,0.8868,0.9944,0.1525,0.9458,0.3976,0.3645,0.7162
ind_2_ind_89,0.9247,0.7992,0.434,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_90,0.8104,0.9882,1.0,0.9808,0.2132,0.9254,0.4436,0.3645,0.9183
ind_2_ind_91,0.9688,0.9291,0.6981,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_92,0.8883,0.8071,0.9245,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_93,0.974,0.9528,0.5472,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_94,0.9792,0.8622,0.6604,0.9952,0.1478,0.8746,0.2887,0.3552,0.7131
ind_2_ind_95,0.9714,0.8268,0.4151,0.9936,0.1462,0.6678,0.241,0.2081,0.7001
ind_2_ind_96,0.9351,0.811,0.1698,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_97,0.9766,0.811,0.8679,0.9944,0.1561,0.7525,0.2619,0.2081,0.768
ind_2_ind_98,0.9948,0.8087,0.6038,0.9952,0.1676,0.8136,0.279,0.276,0.7119
ind_2_ind_99,0.9584,0.9094,0.5849,0.9936,0.1541,0.8136,0.2817,0.3043,0.7017
ind_2_ind_100,0.9506,0.9252,0.8679,0.9944,0.1557,0.6542,0.241,0.3043,0.7037
ind_2_ind_101,0.9584,0.9331,0.7736,0.9976,0.13,0.7153,0.2489,0.4457,0.7202
ind_2_ind_102,0.974,0.9134,0.8679,1.0,0.1727,0.9085,0.3109,0.3645,0.7542
ind_2_ind_103,0.9039,0.7244,0.717,0.996,0.1355,0.7424,0.2495,0.2251,0.7124
ind_2_ind_104,0.9221,0.8819,0.4906,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_105,0.9195,0.8346,0.8491,0.9944,0.1795,0.9119,0.3418,0.5023,0.7117
ind_2_ind_106,0.9481,0.811,0.3585,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_107,0.987,0.752,0.7358,0.9936,0.1834,0.9153,0.3684,0.4796,0.7052
ind_2_ind_108,0.9766,0.7913,0.5094,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_109,0.8442,0.7165,0.6981,0.996,0.1272,0.9966,0.3153,0.474,0.7228
ind_2_ind_110,0.9818,0.7717,0.283,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_111,0.8468,0.6772,0.7736,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_112,0.9584,0.8819,0.5472,0.9928,0.1537,0.8339,0.2949,0.3645,0.6965
ind_2_ind_113,0.9169,0.7126,0.8679,0.9992,0.1379,0.8136,0.2675,0.3495,0.7434
ind_2_ind_114,0.826,0.5591,0.5094,0.9936,0.1771,0.9017,0.3153,0.3891,0.703
ind_3_ind_4,0.974,0.9921,0.6415,0.9968,0.8514,0.6576,0.5129,0.3835,0.715
ind_3_ind_5,0.9766,0.8819,0.6415,0.9984,0.7175,0.5424,0.3808,0.4269,0.8795
ind_3_ind_6,0.9714,0.9764,0.6415,0.9968,0.6929,0.678,0.3498,0.4351,0.9504
ind_3_ind_7,0.9532,0.8583,0.717,0.9976,0.6997,0.6712,0.414,0.4351,0.7045
ind_3_ind_8,0.9818,0.9764,0.717,0.9984,0.876,0.8034,0.7102,0.4928,0.8585
ind_3_ind_9,0.9403,0.8031,0.717,0.9968,0.8067,0.5288,0.3493,0.4136,0.6371
ind_3_ind_10,0.9247,0.8425,0.566,0.9992,0.9505,0.7525,0.6235,0.4269,0.8524
ind_3_ind_11,0.9532,0.937,0.6604,0.9992,0.794,0.7119,0.5421,0.2958,0.8233
ind_3_ind_12,0.9948,0.8346,0.6792,0.9976,0.6533,0.5559,0.4153,0.293,0.9242
ind_3_ind_13,0.9429,0.8189,0.6415,0.9952,0.8613,0.4475,0.4144,0.2675,0.5949
ind_3_ind_14,0.9532,0.9764,0.6772,0.9944,0.6256,0.6373,0.4303,0.4853,0.5678
ind_3_ind_15,0.9195,0.9291,0.6772,0.9928,0.8146,0.6339,0.4015,0.4316,0.4766
ind_3_ind_16,0.9532,0.7953,0.6415,0.996,0.977,0.6678,0.6146,0.7172,0.979
ind_3_ind_17,0.9325,0.9291,0.6415,0.9984,0.7353,0.6068,0.5766,0.4174,0.9261
ind_3_ind_18,0.9532,0.8583,0.6415,0.9968,0.6779,0.5153,0.4475,0.3684,0.6838
ind_3_ind_19,0.9506,0.8819,0.6415,0.9984,0.8146,0.7424,0.5987,0.6059,0.8143
ind_3_ind_20,0.9429,0.9449,0.6415,0.9968,0.7868,0.8169,0.5395,0.4269,0.7276
ind_3_ind_21,0.9221,0.8346,0.4906,0.9992,0.9703,0.8712,0.9513,0.4351,0.9999
ind_3_ind_22,0.9169,0.9291,0.6415,0.996,0.8562,0.7932,0.6615,0.4796,0.7589
ind_3_ind_23,0.9481,0.8819,0.717,0.9976,0.8613,0.7661,0.7231,0.6097,0.8392
ind_3_ind_24,0.9818,0.9134,0.6415,0.9984,0.9968,0.9763,0.9041,0.3156,0.9353
ind_3_ind_25,0.8623,0.6929,0.6792,0.9976,0.9307,0.939,0.9708,0.6361,0.9657
ind_3_ind_26,0.9195,0.7874,0.9811,0.9912,0.8265,0.7254,0.7169,0.2477,0.6399
ind_3_ind_27,0.9558,0.8346,0.6981,0.996,0.8015,0.6881,0.557,0.4351,0.9859
ind_3_ind_28,0.9143,0.9291,0.7358,0.9912,0.7643,0.5661,0.486,0.4005,0.466
ind_3_ind_29,0.9558,0.8425,0.7736,0.9984,0.8118,0.7864,0.6067,0.2835,0.8174
ind_3_ind_30,0.813,0.8346,0.6415,0.9928,0.8958,0.6949,0.6173,0.5192,0.622
ind_3_ind_31,0.9818,0.9134,0.6981,0.9952,0.8364,0.7525,0.6196,0.3665,0.7088
ind_3_ind_32,0.9948,0.9606,0.4906,0.9968,0.792,0.7356,0.6615,0.4665,0.7856
ind_3_ind_33,0.9455,0.9449,0.6772,0.9912,0.6759,0.5593,0.3268,0.3194,0.3461
ind_3_ind_34,0.9403,0.937,0.717,0.9976,0.9239,0.5424,0.6086,0.1742,0.9625
