SUBJECT.NAME,Obesity.BodyLength
A048096119,7.5
A048096523,8.3
A048097274,7.5
A048098560,7.8
A048098608,7.5
A048098790,7.4
A048098815,7.6
A048100854,8.1
A048101022,7.8
A048101354,7.1
A048101850,7.3
A048102058,7.6
A048102062,7.2
A048102284,8.0
A048102298,7.2
A048102326,7.6
A048102344,7.4
A048102636,7.4
A048103552,7.6
A048104055,7.4
A048105840,6.8
A048106824,7.8
A048107106,7.4
A048108281,6.5
A048108327,7.2
A048109049,6.5
A048109836,7.4
A048111053,7.7
A048111353,8.0
A048111516,6.4
A048111540,8.3
A048111820,7.9
A048111832,7.7
A048111851,7.5
A048112845,7.6
A048113040,6.9
A048113527,7.5
A048114022,6.8
A048114639,7.3
A048114787,7.6
A048114796,7.5
A048114828,7.5
A048114848,7.8
A048115324,7.5
A048115577,6.2
A048115586,7.8
A048115835,6.3
A048115873,7.7
A048117617,7.0
A048117780,7.0
A048117807,7.4
A048117876,6.8
A048118000,6.9
A048118372,7.4
A048118531,7.8
A048119797,6.4
A048120064,6.6
A048120298,7.0
A048122076,7.7
A048122316,7.7
A048122322,7.7
A048122545,7.3
A048122784,7.1
A048123293,6.5
A048123376,7.4
A048123560,7.8
A048124637,8.1
A048125004,6.7
A048125017,7.8
A048126293,7.1
A048126565,6.8
A048127320,7.0
A048127592,8.0
A048127848,7.7
A048256056,8.1
A048256284,6.2
A048256776,7.8
A048257316,7.8
A048258376,8.5
A048258620,7.4
A048258834,8.0
A048258842,7.8
A048261002,7.7
A048261040,6.9
A048261072,7.8
A048261259,7.9
A048263034,6.7
A048263310,7.9
A048268784,7.4
A048271860,6.7
A048272018,6.8
A048272323,7.5
A048272331,8.0
A048272340,7.4
A048272564,8.4
A048272639,7.5
A048273042,7.7
A048273083,6.8
A048273303,7.7
A048273349,6.9
A048273353,6.6
A048273584,7.9
A048273604,6.9
A048273784,7.0
A048273786,7.0
A048274015,7.3
A048274070,7.0
A048274362,6.4
A048274606,8.1
A048274859,7.8
A048275273,6.8
A048275274,7.0
A048275570,7.6
A048275888,7.5
A048276530,7.1
A048276532,7.0
A048276563,7.0
A048276590,6.9
A048276812,8.0
A048276871,7.9
A048277066,8.4
A048277613,7.8
A048277802,8.3
A048277878,6.9
A048277888,7.5
A048278035,6.4
A048278066,7.9
A048278086,7.5
A048278103,7.4
A048278380,7.7
A048278795,7.5
A048279009,6.4
A048279079,8.1
A048279086,7.8
A048279094,7.4
A048280355,7.9
A048280359,7.4
A048280365,7.5
A048280513,8.0
A048280561,8.0
A048280877,7.4
A048281301,7.4
A048281589,7.7
A048281772,7.2
A048281893,7.2
A048282019,8.2
A048282069,8.2
A048282323,6.5
A048282364,6.8
A048282532,7.3
A048283353,8.2
A048283514,7.1
A048283521,7.6
A048283621,7.7
A048283853,7.5
A048284577,6.9
A048285264,8.0
A048285543,8.5
A048285627,8.0
A048285875,6.5
A048286078,7.9
A048286335,6.6
A048286571,7.2
A048286851,7.4
A048287013,8.1
A048287563,7.6
A048287619,8.0
A048287855,7.0
A048288313,7.2
A048288364,7.7
A048292804,6.7
A048292860,7.5
A048296850,7.5
A048297050,7.1
A048297770,7.2
A048299053,7.8
A048300274,6.3
A048300286,6.3
A048301370,7.5
A048301565,7.2
A048302637,7.3
A048302801,7.5
A048303261,6.0
A048304031,7.5
A048305265,7.8
A052525850,7.5
A052529313,7.9
A052530595,6.9
A052538059,6.5
A052545836,6.7
A052552092,6.2
A052553296,8.0
A052553589,6.7
A052554317,7.0
A052555539,7.6
A052556361,7.6
A052569537,8.0
A052589120,7.9
A052589333,8.1
A052592018,7.9
A052597567,7.7
A052598083,7.3
A052602081,7.4
A052609588,6.3
A052610048,6.9
A052616855,8.0
A052618008,7.1
A052619346,7.0
A052619562,7.4
A052620834,7.7
A052621017,8.0
A052623359,7.5
A052623584,6.9
A052624066,8.0
A052624514,6.7
A052624782,7.2
A052625275,8.2
A052628570,7.7
A052629363,7.3
A052631282,8.0
A052634603,7.1
A052634623,7.8
A052634816,7.7
A052635259,7.9
A052638360,7.1
A052780082,7.8
A052781842,7.5
A052781845,7.0
A052782850,7.2
A052787883,7.0
A052792353,6.5
A052795037,7.6
A052796857,7.5
A052798557,8.0
A052799267,8.2
A052799328,7.1
A052800382,7.7
A052801541,6.9
A052808283,8.1
A052811355,7.6
A052812594,7.8
A052819094,8.3
A052828076,7.9
A052838073,7.6
A052842597,7.8
A052844109,7.9
A052845832,8.1
A052846805,7.5
A052848257,7.9
A052849123,7.6
A052851552,7.4
A052852067,7.6
A052852070,8.2
A052853802,6.9
A052854269,8.3
A052856103,7.4
A052857123,8.0
A052857857,8.4
A052858890,7.1
A052861821,7.8
A052862319,7.6
A052863022,7.8
A052870852,7.2
A052873779,7.6
A052877118,7.6
A052888127,7.5
A052888590,8.2
A052888591,7.4
A052892316,7.4
A052892872,7.3
A052893788,7.0
A053002052,6.9
A053013093,8.2
A053023380,7.9
A053024601,8.1
A053026587,7.8
A053026818,7.6
A053027117,7.7
A053028102,7.9
A053029369,8.0
A053029791,7.8
A053030292,7.7
A053031772,7.9
A053035844,7.4
A053037776,7.8
A053037880,8.1
A053042270,7.9
A053044603,8.2
A053048603,7.2
A053052635,7.9
A053053012,7.3
A053053096,7.6
A053054340,7.5
A053054528,8.0
A053057796,6.4
A053058379,6.1
A053059356,7.9
A053063281,8.2
A053063855,7.4
A053066863,7.6
A053068315,7.9
A053068775,7.5
A053070383,7.7
A053074016,7.1
A053075376,7.9
A053075572,7.0
A053075810,7.8
A053076035,7.4
A053077810,7.1
A053078842,7.6
A053081284,6.9
A053083044,6.8
A053083824,8.1
A053084062,7.5
A053085267,6.9
A053086377,7.4
A053096770,7.7
A053098266,7.1
A053101275,7.3
A053102110,7.2
A053104274,7.4
A053104836,7.4
A053109294,8.0
A053111539,7.0
A053112576,7.2
A053113372,7.9
A053115580,7.4
A053117273,8.5
A053118815,7.0
A053119096,7.6
A053121340,8.3
A053121348,6.8
A053121776,7.1
A053121786,7.4
A053123328,7.8
A053126610,8.0
A053259595,8.4
A053268028,7.2
A053273558,7.7
A053274515,7.9
A053278519,7.2
A053278526,7.2
A053278534,7.3
A053279798,7.3
A053306061,6.7
A053309610,7.0
A053310123,7.8
A053310771,7.1
A053311315,7.5
A053314371,7.5
A053315089,7.7
A053324619,7.9
A053325844,7.8
A053327638,7.2
A053328342,7.7
A053328630,8.3
A053329319,7.4
A053334598,7.1
A053334608,8.2
A053344037,8.1
A053345270,7.6
A053345354,8.0
A053347109,7.4
A053347368,7.9
A053348357,8.3
A053349036,7.0
A053349313,7.9
A053350345,8.1
A053350557,7.8
A053357326,7.7
A053357344,7.6
A053363022,7.4
A053363287,8.2
A053364292,7.6
A053366615,7.0
A053368562,8.1
A053370831,7.0
A053372091,8.0
A053373276,7.7
A053374870,7.2
A053375835,7.5
A053376341,7.6
A053377861,6.8
A053380881,7.6
A053381362,7.6
A053382037,7.0
A053512777,8.1
A053515788,7.0
A053517124,8.4
A053521596,7.7
A053523614,7.6
A053524010,7.3
A053537328,7.5
A053538123,7.5
A053542615,7.9
A053543610,7.1
A053544524,8.4
A053547773,6.2
A053548812,8.0
A053550328,8.1
A053557530,7.7
A053558768,7.5
A053559068,6.8
A053561870,7.9
A053562842,8.2
A053563030,8.0
A053563588,7.3
A053564374,8.1
A053564582,8.1
A053565037,6.2
A053568862,7.5
A053573885,7.5
A053575633,8.0
A053576623,7.8
A053577791,6.5
A053579560,7.1
A053581777,6.8
A053582632,7.9
A053583098,7.5
A053583638,7.7
A053589026,7.5
A053592775,7.6
A053593532,6.3
A053594023,7.5
A053596619,7.9
A053597769,8.0
A053603357,7.3
A053606015,8.2
A053607343,6.7
A053607576,6.9
A053607586,6.2
A053608073,7.5
A053610544,8.4
A053610614,7.3
A053611080,8.6
A053611854,8.2
A053611862,8.5
A053612768,8.0
A053613021,7.5
A053614004,8.3
A053614010,7.6
A053615533,6.8
A053615847,7.3
A053616020,8.5
A053616035,6.8
A053616606,7.1
A053617622,6.9
A053617890,7.4
A053619006,7.6
A053619368,7.1
A053620586,8.1
A053622311,7.7
A053622625,7.7
A053622854,7.0
A053624045,8.5
A053625123,8.5
A053625512,6.9
A053625622,7.4
A053625627,8.1
A053625841,7.8
A053627520,8.2
A053627600,7.7
A053627847,7.7
A053627872,8.3
A053628118,8.2
A053628616,8.2
A053629514,7.4
A053774578,7.5
A053776778,8.7
A053777555,6.7
A053781297,7.7
A053785895,7.0
A053786092,8.3
A053790005,7.4
A053791356,6.9
A053796333,7.4
A053798358,7.9
A053802801,7.6
A053804113,7.7
A053811085,8.4
A053812366,7.0
A054084284,7.5
A054090550,8.1
A054091270,7.7
A062882537,8.2
A062882785,7.5
A062882891,8.3
A062884359,8.0
A062893089,8.5
A063001812,8.6
A063003538,6.5
A063004568,8.1
A063004820,8.2
A063004831,7.9
A063007024,8.7
A063007072,7.5
A063009019,7.7
A063009106,7.8
A063009115,8.2
A063010041,7.6
A063011268,7.1
A063012272,6.1
A063014029,6.6
A063014272,7.6
A063119082,8.3
A063119632,7.8
A063120277,8.0
A063120574,8.2
A063124801,7.5
A063126608,7.2
A063127584,8.1
A063259066,8.5
A063259583,7.6
A063259874,6.2
A063260315,7.9
A063261299,6.7
A063261563,7.8
A063263078,7.7
A063263382,7.2
A063264860,6.5
A063265108,8.2
A063265806,8.1
A063265847,7.7
A063266615,8.5
A063266797,8.0
A063267036,8.3
A063267846,8.5
A063268335,8.8
A063268860,7.9
A063269056,7.8
A063269306,8.0
A063270100,8.1
A063271372,8.2
A063272043,6.8
A063272099,7.7
A063310029,7.2
A063311623,7.5
A063312102,7.1
A063312867,7.1
A063336815,7.3
A063338541,7.6
A063338625,7.0
A063339889,7.3
A063341535,7.5
A063342341,8.0
A063342593,7.9
A063344541,7.1
A063345052,7.5
A063345573,8.0
A063345585,7.2
A063345605,7.0
A063345789,7.1
A063346080,7.2
A063347541,8.0
A063347594,7.7
A063349069,8.0
A063350017,7.6
A063350277,7.9
A063350378,8.3
A063350516,7.5
A063354863,8.1
A063355515,8.0
A063355573,7.9
A063356301,7.3
A063357294,7.6
A063357298,7.4
A063357846,8.0
A063359003,7.1
A063360058,7.3
A063360567,7.8
A063360630,7.0
A063361558,7.7
A063361614,7.9
A063362018,7.5
A063362599,7.3
A063362614,8.1
A063365378,8.6
A063367095,8.7
A063367282,8.1
A063368083,6.6
A063368573,6.9
A063368577,8.0
A063369287,8.0
A063369379,6.3
A063369578,7.8
A063369834,8.2
A063370794,7.8
A063371075,8.7
A063371349,7.9
A063371614,7.6
A063372587,6.9
A063373769,8.0
A063373814,7.5
A063374271,6.7
A063374804,7.4
A063375363,7.0
A063375825,7.1
A063375850,6.8
A063376082,8.4
A063377119,8.5
A063377257,7.0
A063378534,7.3
A063379048,7.0
A063379267,8.5
A063379275,7.7
A063379804,6.9
A063380380,8.0
A063381020,6.6
A063381303,7.6
A063382285,7.0
A063382564,7.5
A063383006,7.8
A063383025,8.3
A063383513,7.0
A063383622,8.4
A063383811,7.9
A063512847,7.3
A063514006,7.2
A063514300,7.2
A063515074,8.0
A063516577,7.6
A063516780,8.9
A063519591,7.9
A063521602,7.4
A063521788,7.2
A063521838,7.6
A063522330,7.8
A063522546,7.0
A063522597,6.4
A063523258,7.9
A063523330,7.2
A063523616,6.7
A063524613,7.6
A063525626,8.0
A063526548,7.1
A063526602,8.2
A063527798,8.4
A063527856,6.4
A063528111,8.4
A063529600,6.5
A063531029,7.9
A063531580,8.0
A063532060,7.7
A063534369,8.1
A063534561,7.0
A063535101,8.6
A063536564,7.9
A063537072,6.8
A063538058,6.6
A063538364,6.9
A063538623,8.0
A063540827,7.8
A063541024,8.5
A063541051,8.3
A063541614,8.0
A063541831,7.1
A063543090,7.9
A063543622,7.0
A063544780,7.7
A063545009,7.2
A063545824,8.4
A063546518,7.4
A063546566,7.0
A063546872,8.7
A063548317,8.5
A063549863,7.3
A063550874,7.8
A063551076,7.6
A063551096,8.3
A063551337,7.1
A063551369,7.5
A063551600,8.4
A063553007,8.3
A063553009,7.9
A063554022,8.4
A063554583,7.7
A063554885,8.0
A063555126,8.3
A063555877,8.1
A063556563,8.2
A063557365,6.0
A063557573,7.0
A063557808,7.6
A063567352,7.6
A063568001,8.8
A063569370,6.8
A063570285,7.9
A063571569,8.8
A063571604,8.2
A063572073,8.2
A063572633,8.2
A063573313,6.6
A063573555,7.8
A063573561,7.6
A063575272,8.9
A063575342,6.5
A063575518,8.4
A063575829,8.4
A063576534,8.3
A063577627,7.1
A063578568,7.8
A063578615,7.2
A063578768,7.5
A063580838,8.0
A063583848,7.5
A063584892,8.1
A063599376,7.9
A063600005,6.4
A063602575,7.8
A063604338,7.1
A063604368,7.2
A063604629,7.5
A063604816,7.5
A063604845,7.6
A063605347,8.0
A063605367,7.4
A063608034,8.0
A063608810,7.0
A063609043,7.8
A063609335,7.4
A063610105,8.0
A063610310,7.5
A063610516,7.7
A063610561,7.4
A063610617,7.3
A063611105,7.4
A063611117,6.3
A063611258,7.6
A063611301,7.6
A063612068,7.4
A063612603,7.0
A063612773,7.4
A063613325,7.6
A063613839,8.1
A063614105,7.9
A063614623,7.8
A063614772,7.3
A063615105,7.8
A063615826,7.9
A063618351,7.2
A063618834,7.9
A063619116,7.2
A063619274,7.9
A063619860,7.3
A063620055,6.5
A063621256,7.7
A063621336,7.8
A063622326,7.6
A063623288,7.1
A063623891,7.7
A063625788,7.7
A063626582,8.2
A063629895,7.9
A063630303,8.0
A063630607,7.8
A063632089,7.8
A063632293,7.0
A063632875,7.9
A063634356,7.2
A063635803,8.1
A063636061,7.5
A063637123,7.3
A063638035,7.5
A063638108,7.8
A063768029,7.8
A063768269,7.8
A063769277,8.1
A063770090,7.1
A063770277,8.2
A063771357,7.4
A063772262,7.5
A063772352,7.1
A063772894,8.0
A063773074,7.3
A063773299,7.2
A063773367,8.0
A063775561,7.9
A063775856,7.0
A063777011,6.4
A063777532,7.9
A063778259,7.4
A063779516,7.5
A063779838,7.3
A063787304,7.9
A063788521,7.6
A063789566,7.8
A063789585,7.0
A063789782,7.5
A063790079,7.7
A063790268,7.4
A063790772,7.7
A063791068,7.4
A063792845,6.6
A063793601,8.1
A063795281,8.3
A063797783,8.2
A063798057,7.1
A063798078,7.8
A063798598,6.8
A063799614,6.7
A063800843,7.8
A063801090,8.5
A063801554,8.0
A063802607,8.0
A063802835,7.9
A063802870,7.3
A063804009,7.1
A063804552,7.2
A063806359,7.0
A063807802,8.4
A063808624,7.7
A063808790,7.9
A063810348,7.3
A063811098,8.0
A063812098,7.2
A063812869,7.5
A063813024,8.5
A063813601,7.8
A063815560,7.5
A063816580,8.0
A063818533,7.5
A063819817,7.2
A063820535,7.5
A063820626,8.7
A063820850,7.8
A063821291,7.4
A063822811,8.6
A063823314,6.3
A063823801,7.2
A063823828,7.7
A063825775,7.3
A063832352,7.6
A063832587,7.3
A063832617,7.5
A063832855,8.1
A063834324,7.7
A063834829,6.6
A063835873,7.4
A063836584,7.5
A063836639,7.9
A063837274,7.0
A063837530,8.4
A063837548,8.2
A063837833,7.8
A063838121,7.4
A063838593,7.6
A063839061,8.5
A063842319,8.1
A063842855,8.0
A063844091,7.7
A063847121,7.8
A063852837,7.3
A063853635,7.9
A063854023,6.8
A063855321,7.9
A063855559,7.6
A063855575,7.3
A063855885,7.7
A063856573,8.4
A063857039,8.0
A063858113,7.8
A063859291,7.7
A063860035,7.7
A063860051,6.3
A063860103,7.3
A063860589,7.6
A063860779,7.4
A063861561,8.4
A063861603,7.8
A063861871,7.9
A063864876,7.4
A063865861,7.7
A063866069,8.4
A063867312,7.6
A063867785,8.9
A063870525,7.5
A063871632,7.3
A063873017,9.1
A063873529,8.1
A063875112,8.0
A063876111,6.7
A063878032,8.0
A063878111,7.4
A063878863,8.0
A063882361,8.8
A063883335,8.0
A063885881,7.0
A063888055,7.7
A063888574,7.4
A063888627,7.4
A063892352,7.9
A063892782,6.7
A063893087,7.3
A063893371,8.0
A063894836,7.7
A063894847,7.9
A063895000,7.0
A063895344,6.9
A063895878,7.9
A064000044,8.5
A064001839,8.5
A064002882,7.2
A064002891,7.8
A064003018,7.8
A064003520,7.0
A064003628,8.1
A064004534,7.9
A064005323,8.1
A064005775,8.2
A064008029,7.5
A064008513,7.5
A064009012,7.2
A064010088,7.2
A064010366,8.3
A064010381,7.1
A064011272,8.2
A064011604,7.9
A064012291,7.5
A064014380,7.5
A064014880,8.3
A064015058,7.5
A064017019,7.8
A064017081,7.5
A064017595,7.8
A064017802,7.6
A064018072,7.5
A064018597,6.3
A064018792,8.2
A064018793,7.8
A064018874,7.5
A064019568,7.7
A064020024,7.2
A064020036,8.0
A064021513,6.9
A064021838,8.1
A064021862,7.1
A064022833,8.5
A064026354,7.1
A064027312,7.8
A064028336,7.1
A064028563,7.5
A064029073,8.3
A064030599,7.6
A064032010,7.6
A064032352,7.7
A064033059,7.4
A064033524,7.0
A064033626,8.1
A064034866,8.4
A064034869,8.9
A064035552,6.6
A064035829,7.4
A064036005,6.2
A064036871,6.8
A064036879,6.8
A064037307,8.3
A064038096,6.7
A064038309,7.7
A064038554,7.6
A064038874,7.5
A064039256,8.2
A064040310,8.0
A064040516,8.1
A064041360,8.6
A064041528,7.1
A064041587,6.9
A064041634,7.7
A064043066,6.4
A064043531,7.9
A064043567,7.8
A064043842,7.2
A064044576,7.2
A064045267,8.5
A064048791,8.0
A064048817,7.2
A064048875,6.4
A064049287,6.8
A064049623,8.0
A064049795,7.3
A064050282,7.8
A064051078,7.8
A064052345,6.9
A064052862,8.3
A064054321,8.3
A064055293,7.9
A064056094,7.8
A064056577,8.3
A064058052,7.0
A064058582,8.0
A064060121,7.8
A064060295,6.3
A064060327,8.3
A064060854,8.0
A064061014,7.9
A064061349,7.8
A064063035,7.5
A064063789,7.8
A064063846,7.3
A064064260,7.0
A064064564,8.0
A064065775,7.0
A064066630,7.9
A064069120,7.9
A064069267,7.5
A064071530,8.9
A064075846,7.0
A064076342,8.5
A064076804,8.2
A064077266,8.2
A064078810,6.8
A064078828,8.0
A064079095,8.0
A064079264,7.7
A064079620,8.5
A064080080,7.6
A064080116,7.7
A064082263,7.9
A064082565,7.9
A064083035,7.6
A064083040,7.3
A064083527,8.5
A064086019,7.4
A064086340,6.6
A064086849,7.9
A064087000,8.8
A064087605,7.5
A064087615,8.0
A064087792,7.5
A064087887,7.2
A064088625,7.6
A064089073,7.2
A064090082,8.9
A064091372,7.1
A064091789,7.0
A064091868,6.5
A064092094,8.1
A064092602,7.2
A064092816,7.8
A064093317,8.1
A064093534,7.6
A064093789,7.7
A064094852,7.3
A064095000,7.5
A064095813,8.9
A064096096,8.0
A064096308,9.3
A064096588,7.9
A064096779,7.6
A064096847,8.1
A064097296,7.7
A064097308,8.2
A064098032,8.1
A064098105,8.4
A064099635,7.9
A064099868,7.6
A064100014,6.6
A064100034,7.7
A064100052,7.8
A064270063,6.9
A064537581,8.5
A064575795,7.3
A064610602,8.2
A064768831,7.1
A064779520,7.5
A066785298,7.5
A066785804,8.0
A066785836,6.9
A066786115,8.6
A066786789,7.6
A066789044,7.5
A066789843,6.9
A066790024,7.2
A066790098,7.6
A066790264,7.0
A066790379,6.8
A066790801,7.1
A066791380,7.7
A066791575,7.5
A066792340,7.6
A066792597,7.3
A066794637,7.4
A066800554,7.1
A066801016,7.1
A066801375,7.0
A066803325,7.9
A066805368,7.9
A066806793,7.4
A066807536,8.1
A066807555,7.1
A066808025,7.9
A066808110,6.7
A066809045,7.2
A066809562,7.3
A066809799,7.7
A066814105,8.3
A066817813,7.0
A066817873,6.9
A066818853,8.0
A066819046,7.7
A066819768,7.5
A066820593,7.2
A066821828,6.9
A066822063,7.5
A066822099,7.4
A066822351,6.2
A066822355,7.9
A066822863,6.4
A066824834,6.9
A066825380,7.8
A066825627,8.0
A066828799,7.2
A066832891,7.7
A066837307,7.5
A066837877,7.9
A066840813,8.2
A066841537,7.0
A066841802,7.6
A066844305,6.8
A066846295,7.3
A066851355,7.4
A066851796,8.3
A066852564,7.1
A066853001,7.5
A066853355,6.8
A066853855,7.1
A066853869,7.9
A066856049,7.6
A066856381,6.7
A066857770,6.8
A066859097,7.0
A066859275,7.3
A066860531,8.3
A066860558,8.2
A066860873,7.4
A066861069,7.1
A066861843,6.9
A066862073,8.4
A066862514,8.0
A066867291,8.0
A066868872,8.1
A066871358,7.4
A066871529,7.3
A066872103,7.4
A066872821,7.7
A066873093,7.5
A066880257,8.3
A066881888,7.9
A066882048,7.0
A066882524,8.0
A066885108,7.6
A066886308,7.9
A066886537,7.9
A066886589,7.2
A066886776,7.0
A066887568,6.9
A066887872,8.0
A066888090,8.4
A066889358,7.9
A066889543,7.0
A066889855,7.4
A066890083,7.6
A066891006,7.6
A066891127,7.4
A066891298,7.7
A066891579,8.0
A066891591,7.0
A066892091,7.4
A066892518,7.7
A066892533,6.4
A066892790,7.5
A066893123,6.7
A066893263,6.5
A066893338,7.8
A066893828,8.8
A066894353,6.8
A067001023,7.7
A067001120,7.8
A067001512,8.0
A067001514,7.5
A067004612,8.0
A067005820,7.1
A067006527,7.8
A067007042,7.7
A067010543,7.2
A067011052,7.2
A067011548,7.4
A067012124,8.5
A067012324,7.1
A067012781,7.5
A067013857,7.7
A067014002,7.2
A067014773,6.6
A067015784,7.7
A067017877,7.2
A067018569,8.0
A067018865,7.2
A067019015,7.3
A067019281,7.5
A067019627,7.3
A067019829,7.9
A067021522,8.3
A067022872,7.4
A067023636,8.3
A067023796,7.2
A067025100,8.5
A067025868,7.1
A067025880,7.4
A067026018,7.3
A067026279,7.7
A067026294,6.5
A067026328,8.4
A067026336,6.7
A067026625,7.8
A067027301,7.8
A067028317,7.0
A067028352,7.3
A067028847,7.0
A067029291,7.5
A067030768,8.3
A067030853,7.2
A067031089,7.8
A067032313,6.5
A067033024,8.4
A067033821,6.8
A067034065,6.3
A067034293,6.6
A067035068,6.8
A067035071,7.9
A067035294,8.2
A067038341,8.6
A067039304,7.4
A067040812,7.6
A067041079,6.9
A067041379,8.0
A067042073,7.8
A067042331,8.0
A067043333,8.3
A067043528,7.0
A067043604,7.3
A067044113,7.3
A067052379,7.7
A067052871,7.9
A067054621,8.3
A067054794,7.2
A067054841,6.7
A067056015,7.1
A067056291,8.8
A067057327,7.6
A067058613,7.5
A067059802,7.2
A067060370,7.5
A067061808,7.3
A067063288,7.1
A067063313,6.7
A067063876,6.8
A067067814,8.0
A067073289,7.3
A067076637,6.7
A067076869,7.5
A067077564,7.8
A067078301,8.1
A067078340,8.5
A067078777,7.7
A067079580,8.1
A067079792,6.8
A067080099,7.1
A067080581,7.0
A067081094,7.2
A067081584,7.6
A067082791,7.3
A067083019,6.4
A067084043,6.5
A067085307,7.1
A067086003,6.6
A067086264,7.5
A067086368,7.8
A067087083,7.5
A067087359,6.5
A067088050,7.6
A067088260,7.9
A067088817,7.2
A067089071,7.0
A067089522,7.5
A067089542,7.9
A067089584,7.1
A067089597,7.0
A067091318,7.2
A067091793,8.3
A067092301,6.9
A067092841,7.6
A067092870,7.2
A067093029,7.5
A067094126,7.6
A067095101,8.4
A067095773,6.8
A067096018,7.4
A067098057,6.7
A067098816,7.5
A067099022,8.0
A067099043,7.5
A067099783,7.1
A067099841,8.3
A067100524,7.0
A067103315,7.4
A067103887,7.4
A067104348,7.9
A067104802,7.5
A067106356,7.2
A067107007,7.3
A067107069,7.2
A067107590,6.6
A067109370,6.5
A067109611,7.9
A067109771,7.3
A067111287,7.6
A067113538,7.0
A067113811,7.2
A067114278,7.2
A067115563,7.8
A067116556,7.4
A067116848,7.3
A067117026,7.8
A067117351,7.3
A067117798,7.8
A067117838,7.1
A067117882,6.8
A067118074,7.0
A067118871,7.3
A067118882,7.8
A067118890,8.0
A067119082,7.6
A067119610,8.5
A067120600,8.0
A067121332,7.9
A067121382,7.7
A067121769,7.5
A067122316,7.2
A067256874,7.4
A067257074,8.0
A067257117,7.6
A067259573,8.5
A067259618,7.9
A067259785,7.5
A067260382,6.9
A067266284,7.4
A067268806,7.2
A067271542,7.6
A067273277,7.8
A067275045,6.7
A067276121,7.0
A067276309,7.2
A067276783,6.6
A067277521,6.1
A067277793,7.7
A067277806,7.1
A067278534,7.6
A067279373,7.4
A067281259,7.6
A067281559,7.9
A067284103,7.4
A067284545,6.7
A067284590,6.0
A067285354,8.3
A067285801,7.6
A067289112,6.5
A067290788,6.9
A067290795,8.1
A067291774,6.8
A067291818,7.5
A067292638,7.3
A067292795,8.2
A067292874,7.6
A067293358,6.8
A067294326,7.5
A067294370,7.1
A067295328,8.0
A067295564,7.5
A067296011,7.5
A067296099,7.7
A067296859,7.1
A067298634,6.3
A067299070,7.6
A067299835,8.0
A067300011,7.4
A067301357,7.2
A067301616,7.1
A067301776,8.2
A067301793,7.8
A067302041,7.8
A067302081,8.2
A067302541,7.5
A067302818,7.8
A067303053,7.1
A067303587,8.1
A067303813,8.0
A067303847,7.6
A067303857,6.5
A067304542,6.9
