individual,Ng10.a,Ng10.b,Ng18.a,Ng18.b,Ng8.a,Ng8.b,Bd12.a,Bd12.b,Ng20.a,Ng20.b,Ng6.a,Ng6.b,Ng7.a,Ng7.b,stem_width,stem_height,first_flower_day,fruits_number,fruit_length,fruit_diameter,fruit_weight,seeds_number,yield,variety
ind_55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9,101.0,64.0,636,3.04,0.85,0.86,32.61,548.36,tabasco
ind_56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.37,88.0,55.0,348,3.22,0.82,1.01,35.2,349.98,tabasco
ind_57,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.12,117.0,53.0,791,3.12,0.85,0.95,32.61,749.71,tabasco
ind_58,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3.64,123.0,57.0,512,3.01,0.87,1.03,32.61,529.41,tabasco
ind_59,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.97,81.0,58.0,1252,3.52,0.84,1.14,32.61,1426.15,tabasco
ind_60,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1.18,100.0,55.59,181,3.33,0.9,1.16,32.61,209.42,tabasco
ind_61,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.86,141.0,55.59,147,2.72,0.86,0.65,32.61,95.93,tabasco
ind_62,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1.3,111.0,59.0,561,3.36,0.94,1.24,32.61,696.09,tabasco
ind_63,1,1,1,1,1,1,1,1,1,1,0,0,1,1,3.0,72.0,55.59,39,3.1,0.87,0.98,32.61,38.22,tabasco
ind_64,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1.6,120.0,63.0,323,3.1,0.87,0.98,32.61,316.54,tabasco
ind_65,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3.86,130.0,55.59,118,3.23,0.96,0.77,32.61,90.97,tabasco
ind_66,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3.04,21.0,52.0,859,3.35,0.91,1.12,32.61,960.19,tabasco
ind_67,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0.52,102.0,48.0,451,2.87,0.77,0.83,32.61,374.06,tabasco
ind_68,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2.33,122.0,63.0,238,2.92,0.83,0.97,33.6,231.69,tabasco
ind_69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2,98.0,55.59,2,2.39,0.85,0.58,31.4,1.15,tabasco
ind_70,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2.8,90.0,53.0,544,3.22,0.87,0.93,35.0,507.66,tabasco
ind_71,1,1,1,1,1,1,2,2,1,1,3,3,1,1,1.72,92.0,55.0,807,3.07,0.82,0.9,35.6,724.28,tabasco
ind_72,1,1,1,1,1,1,3,3,1,1,3,3,3,3,1.61,100.0,57.0,791,2.97,0.8,0.86,38.8,677.57,tabasco
ind_73,1,1,1,1,1,1,3,3,1,1,3,3,1,1,2.66,81.0,52.0,370,3.3,0.94,1.05,34.4,387.83,tabasco
ind_74,1,1,1,1,1,1,3,3,1,1,3,3,1,1,2.0,111.0,55.59,1199,2.88,0.88,0.82,32.61,984.98,tabasco
ind_75,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3.65,96.0,48.0,572,3.14,0.88,1.07,32.61,614.39,tabasco
ind_76,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.58,132.0,59.0,682,3.14,0.79,0.99,32.61,677.84,tabasco
ind_77,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3.52,92.0,50.0,880,2.63,0.85,1.06,32.61,931.74,tabasco
ind_78,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.71,92.0,57.0,600,3.03,0.94,1.05,32.61,632.34,tabasco
ind_79,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.02,36.4,69.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_80,3,3,2,2,1,1,1,1,1,1,1,1,3,3,1.58,53.5,56.0,14,3.67,2.52,6.55,35.0,91.7,habanero
ind_81,2,2,2,2,1,1,1,1,1,1,1,1,5,5,1.22,64.0,52.0,4,2.65,2.41,4.98,42.0,19.9,habanero
ind_82,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.96,70.0,45.0,4,2.85,2.05,3.98,65.0,15.9,habanero
ind_83,2,2,2,2,1,1,3,3,1,1,1,1,3,3,1.75,56.0,54.0,2,3.67,2.73,10.05,103.0,20.1,habanero
ind_84,2,2,0,0,1,1,1,1,1,1,1,1,3,3,0.89,38.0,84.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_85,2,2,6,6,1,1,1,1,1,1,1,1,3,3,1.29,45.0,52.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_86,3,3,2,2,1,1,1,1,1,1,1,1,3,3,1.22,46.0,69.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_87,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.61,69.5,69.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_88,4,4,2,2,1,1,1,1,1,1,1,1,3,3,2.11,64.0,51.0,2,3.66,3.24,14.05,51.64,28.1,habanero
ind_89,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1.07,48.5,75.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_90,3,3,2,2,1,1,1,1,1,1,1,1,3,3,2.09,75.5,45.0,33,5.19,3.3,16.65,51.64,549.45,habanero
ind_91,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1.24,65.0,61.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_92,2,2,2,2,1,1,2,2,1,1,1,1,3,3,0.93,49.5,49.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_93,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.46,68.0,69.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_94,2,2,2,2,3,3,2,2,1,1,1,1,0,0,1.28,56.5,63.0,3,3.54,2.71,7.9,50.0,23.7,habanero
ind_95,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.47,52.0,76.0,1,3.5,2.1,5.2,24.0,5.2,habanero
ind_96,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.11,50.0,89.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_97,4,4,2,2,1,1,3,3,3,3,1,1,3,3,1.27,50.0,52.0,16,3.75,2.35,6.38,24.0,102.0,habanero
ind_98,3,3,2,2,1,1,2,2,1,1,1,1,3,3,1.34,49.7,66.0,3,4.04,2.53,7.35,36.0,22.05,habanero
ind_99,3,3,2,2,1,1,1,1,1,1,1,1,3,3,1.52,62.5,67.0,1,3.7,2.53,7.5,41.0,7.5,habanero
ind_100,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.55,64.5,52.0,2,3.74,2.06,5.2,41.0,10.4,habanero
ind_101,3,3,2,2,1,1,1,1,1,1,1,1,3,3,1.52,65.5,57.0,6,3.09,2.24,5.65,66.0,33.9,habanero
ind_102,3,3,2,2,1,1,1,1,1,1,1,1,3,3,1.26,63.0,52.0,9,4.17,2.81,9.15,51.64,82.35,habanero
ind_103,3,3,2,2,1,1,2,2,1,1,1,1,3,3,0.99,39.0,60.0,4,3.23,2.32,5.68,27.0,22.7,habanero
ind_104,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.66,59.0,72.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_105,0,0,2,2,1,1,1,1,1,1,1,1,3,3,1.05,53.0,53.0,2,4.34,2.82,10.9,76.0,21.8,habanero
ind_106,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1.56,50.0,79.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_107,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.41,42.5,59.0,1,4.44,2.83,12.4,72.0,12.4,habanero
ind_108,5,5,2,2,1,1,1,1,1,1,1,1,3,3,1.27,47.5,71.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_109,2,2,2,2,1,1,0,0,1,1,1,1,3,3,0.76,38.0,61.0,4,3.02,3.09,9.4,71.0,37.6,habanero
ind_110,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1.29,45.0,83.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_111,2,2,2,2,1,1,0,0,1,1,1,1,3,3,0.77,33.0,57.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_112,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.52,59.0,69.0,0,3.69,2.59,8.25,51.64,0.0,habanero
ind_113,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1.04,37.5,52.0,10,3.29,2.53,6.7,49.0,67.0,habanero
ind_114,0,0,2,2,1,1,2,2,1,1,1,1,3,3,0.69,18.0,71.0,1,4.28,2.79,9.4,56.0,9.4,habanero
