pair,grain.yield,grain.number,seed.size,anthesis,silking,plant.height,tassel.height,ear.height
11430_DKFAPW,0.9656,0.9309,0.8559,0.9865,0.8996,0.9742,0.7996,0.893
11430_DKFBHJ,0.9332,0.8888,0.9663,0.9474,0.9245,0.8962,0.9198,0.9827
11430_DKIBO2,0.8826,0.8668,0.9534,0.7441,0.846,0.8907,0.9452,0.9865
11430_DKMBST,0.8812,0.8514,0.9679,0.6529,0.6638,0.8471,0.9252,0.8523
11430_EA1027,0.6731,0.6511,0.8701,0.6677,0.6365,0.9894,0.8644,0.634
11430_EA1163,0.6259,0.7484,0.7248,0.7392,0.9562,0.7761,0.9202,0.941
11430_EA3076,0.9004,0.9989,0.8977,0.7873,0.6459,0.863,0.7973,0.617
11430_EC136,0.8313,0.8374,0.9576,0.7497,0.8663,0.9532,0.7921,0.8161
11430_EC140,0.9547,0.8067,0.7672,0.9406,0.9778,0.9642,0.8972,0.9623
11430_EC151,0.8992,0.917,0.6908,0.8453,0.7774,0.7561,0.5878,0.9732
11430_EC169,0.8873,0.9828,0.7484,0.9144,0.9021,0.7204,0.4978,0.9604
11430_EC175,0.8254,0.8722,0.831,0.9408,0.8747,0.8145,0.835,0.8566
11430_EC232,0.8719,0.846,0.9398,0.9803,0.9723,0.9239,0.7509,0.7942
11430_EC242C,0.979,0.931,0.8918,0.7166,0.7762,0.9871,0.8909,0.8719
11430_EC334,0.9706,0.9308,0.937,0.866,0.7431,0.8023,0.6629,0.9046
11430_EP10,0.6534,0.7174,0.8881,0.9694,0.839,0.846,0.7357,0.973
11430_EP2008-18,0.9876,0.972,0.8629,0.9498,0.8396,0.8373,0.9995,0.9871
11430_EP2008-22,0.9173,0.8861,0.8277,0.9585,0.9431,0.8849,0.6789,0.8007
11430_EP29,0.8995,0.8618,0.9503,0.9963,0.9538,0.9136,0.8224,0.9519
11430_EP51,0.7878,0.8404,0.9596,0.8315,0.9458,0.6601,0.4664,0.7635
11430_EP52,0.9984,0.9792,0.8773,0.7298,0.7498,0.9155,0.9152,0.7568
11430_EP55,0.7853,0.9348,0.7084,0.8948,0.8328,0.9759,0.9731,0.6622
11430_EP67,0.7663,0.9062,0.7625,0.8382,0.9748,0.6435,0.5253,0.9212
11430_EP72,0.6536,0.9678,0.3973,0.8017,0.6511,0.8888,0.682,0.9696
11430_EP77,0.7002,0.893,0.5939,0.8513,0.9168,0.7126,0.9536,0.8826
11430_EZ11A,0.8626,0.8619,0.8954,0.6516,0.6957,0.5615,0.7257,0.548
11430_EZ18,0.9662,0.8798,0.9266,0.3977,0.363,0.6522,0.6417,0.4983
11430_EZ31,0.9863,0.9626,0.9452,0.7375,0.6331,0.8377,0.9361,0.7166
11430_EZ35,0.9404,0.8563,0.9115,0.8942,0.7453,0.8949,0.9359,0.7372
11430_EZ36,0.888,0.7932,0.8199,0.7272,0.7839,0.9167,0.9021,0.6231
11430_EZ37,0.9815,0.9595,0.9929,0.7897,0.7675,0.9386,0.8285,0.7868
11430_EZ38,0.8921,0.848,0.9838,0.5776,0.5784,0.75,0.8567,0.597
11430_EZ40,0.9181,0.8159,0.844,0.7902,0.8253,0.9686,0.8016,0.8038
11430_EZ42,0.9166,0.8363,0.873,0.7354,0.7085,0.837,0.9577,0.7602
11430_EZ47,0.9156,0.9776,0.9087,0.9944,0.8595,0.9827,0.8265,0.7681
11430_EZ48,0.8819,0.8424,0.9849,0.5531,0.4431,0.5982,0.7226,0.5905
11430_F04401,0.8864,0.9144,0.9873,0.94,0.9399,0.7795,0.7819,0.7639
11430_F04402,0.8584,0.9895,0.71,0.9897,0.9897,0.7463,0.8164,0.8444
11430_F04701,0.9156,0.9552,0.8925,0.7279,0.6582,0.8014,0.8838,0.7069
11430_F04702,0.9648,0.9358,0.9088,0.9107,0.8424,0.9651,0.9868,0.8418
11430_F05101,0.8265,0.8485,0.919,0.917,0.9582,0.9498,0.9601,0.8329
11430_F05404,0.7465,0.7443,0.942,0.8388,0.9407,0.9496,0.8823,0.9728
11430_F1808,0.9376,0.9947,0.8882,0.8444,0.9414,0.8207,0.9838,0.7675
11430_F1890,0.8107,0.8561,0.9434,0.8579,0.9284,0.9381,0.949,0.6259
11430_F218,0.793,0.7738,0.9459,0.7156,0.7262,0.9042,0.6921,0.8746
11430_F252,0.5664,0.6663,0.7076,0.717,0.7821,0.9529,0.8262,0.9165
11430_F353,0.9827,0.9655,0.9914,0.8035,0.8386,0.9355,0.9973,0.9132
11430_F354,0.8659,0.9958,0.6554,0.9019,0.9752,0.7569,0.6973,0.9809
11430_F608,0.9892,0.8053,0.6767,0.8696,0.8441,0.7156,0.7291,0.8409
11430_F618,0.9132,0.9343,0.9221,0.901,0.9153,0.9489,0.8905,0.9777
11430_F7001,0.9204,0.9569,0.7418,0.7892,0.8019,0.6915,0.8371,0.4313
11430_F7019,0.8932,0.9006,0.9772,0.8799,0.8936,0.9961,0.7582,0.7281
11430_F7025,0.9479,0.9923,0.9333,0.9593,0.8873,0.9058,0.8982,0.9847
11430_F7028,0.9676,0.8312,0.6338,0.8768,0.85,0.9427,0.7698,0.9112
11430_F7057,0.9593,0.9432,0.7984,0.9984,0.9734,0.8793,0.8025,0.8345
11430_F7058,0.9089,0.9689,0.8766,0.9593,0.9427,0.9046,0.7787,0.9786
11430_F7081,0.9342,0.9963,0.8715,0.8138,0.8053,0.8826,0.8482,0.5414
11430_F7082,0.8332,0.9153,0.8378,0.9184,0.922,0.8843,0.7603,0.74
11430_F712,0.9533,0.819,0.7446,0.7239,0.6487,0.5351,0.5896,0.43
11430_F748,0.9685,0.8965,0.9127,0.781,0.7681,0.8593,0.9453,0.7238
11430_F752,0.9435,0.8539,0.902,0.5957,0.5004,0.9554,0.874,0.7037
11430_F838,0.9387,0.8005,0.7565,0.5826,0.6684,0.9757,0.9635,0.7706
11430_F874,0.7947,0.8188,0.9992,0.6355,0.77,0.7781,0.5903,0.988
11430_F888,0.8851,0.9772,0.8376,0.9669,0.771,0.9366,0.9196,0.96
11430_F894,0.8993,0.8536,0.977,0.6952,0.6914,0.7801,0.941,0.7538
11430_F908,0.8197,0.8794,0.8019,0.8354,0.9734,0.8824,0.9974,0.7789
11430_F912,0.9221,0.878,0.8841,0.9243,0.9433,0.9927,0.8804,0.9756
11430_F918,0.9163,0.9927,0.7926,0.8543,0.7608,0.8344,0.8928,0.6343
11430_F922,0.9951,0.9236,0.8043,0.9473,0.9995,0.7373,0.7535,0.728
11430_F924,0.8164,0.739,0.8935,0.8593,0.925,0.8986,0.9931,0.832
11430_F98902,0.9157,0.888,0.9576,0.9132,0.9715,0.5835,0.7025,0.5875
11430_FP1,0.9218,0.9564,0.773,0.8971,0.9005,0.857,0.9635,0.6628
11430_FR19,0.7533,0.8103,0.8401,0.9235,0.7782,0.9524,0.9868,0.8164
11430_FR697,0.8579,0.9597,0.7461,0.7248,0.6851,0.8774,0.9853,0.8074
11430_H99,0.909,0.9681,0.9492,0.9024,0.7413,0.8095,0.5994,0.6325
11430_HMV5301,0.7936,0.9853,0.6074,0.9942,0.9932,0.677,0.8449,0.8081
11430_HMV5325,0.828,0.815,0.9325,0.904,0.972,0.5065,0.599,0.5967
11430_HMV5343,0.9505,0.9663,0.883,0.9979,0.9655,0.9166,0.8343,0.8797
11430_HMV5347,0.9894,0.9013,0.7916,0.9626,0.9502,0.9827,0.8423,0.8799
11430_HMV5405,0.8319,0.9363,0.7885,0.9049,0.9694,0.8721,0.9907,0.8306
11430_HMV5409,0.9377,0.9729,0.7241,0.9194,0.9529,0.8312,0.7311,0.9878
11430_HMV5422,0.6594,0.5694,0.8673,0.7058,0.8207,0.3565,0.5336,0.51
11430_HMV5502,0.8259,0.8074,0.9843,0.6538,0.656,0.7902,0.9318,0.4743
11430_I198,0.9616,0.8301,0.6929,0.517,0.374,0.995,0.9757,0.7093
11430_I233,0.8783,0.737,0.9009,0.3919,0.3137,0.7515,0.8054,0.6448
11430_I238,0.9997,0.7526,0.6536,0.6598,0.6574,0.7382,0.8672,0.6959
11430_I242,0.9006,0.9759,0.8379,0.662,0.5943,0.8174,0.9889,0.5047
11430_I261,0.9153,0.9401,0.8597,0.6562,0.5785,0.9184,0.776,0.687
11430_I267,0.9314,0.9805,0.892,0.448,0.3402,0.8204,0.9777,0.3675
11430_IDT,0.9418,0.89,0.8255,0.7817,0.6435,0.9908,0.9493,0.939
11430_LAN496,0.7926,0.959,0.7256,0.7358,0.587,0.993,0.9125,0.6804
11430_LH123Ht,0.9356,0.8475,0.9224,0.5322,0.5526,0.7585,0.838,0.6409
11430_LH145,0.9644,0.9809,0.8614,0.9847,0.9268,0.9083,0.9436,0.9746
11430_LH38,0.9649,0.9842,0.9409,0.9383,0.857,0.8613,0.6241,0.8573
11430_LH39,0.9933,0.9419,0.9084,0.9063,0.993,0.8291,0.7837,0.8818
11430_LH59,0.9439,0.8938,0.9666,0.7356,0.6529,0.9457,0.9928,0.9062
11430_LH60,0.7571,0.6921,0.9757,0.6209,0.6272,0.9363,0.7827,0.8394
11430_LH65,0.8287,0.825,0.8978,0.6229,0.5759,0.8107,0.6867,0.6951
11430_LH74,0.9912,0.909,0.9071,0.8141,0.873,0.9231,0.9097,0.934
11430_LH82,0.9067,0.7214,0.7023,0.9367,0.9521,0.8996,0.7023,0.9716
11430_LH93,0.7299,0.5491,0.8031,0.6669,0.6356,0.9433,0.6633,0.7623
11430_Lo1016,0.7289,0.6444,0.943,0.6063,0.6135,0.6417,0.6855,0.5101
11430_Lo1026,0.7749,0.6827,0.9046,0.8306,0.7758,0.8144,0.8295,0.7226
11430_Lo1035,0.7285,0.6764,0.9804,0.5706,0.5741,0.7886,0.8068,0.6929
11430_Lo1038,0.5673,0.3489,0.8347,0.5026,0.4124,0.768,0.9118,0.7779
11430_Lo1056,0.7862,0.6751,0.9228,0.449,0.4259,0.8486,0.862,0.6284
11430_Lo1063,0.8289,0.6957,0.9237,0.405,0.5631,0.8566,0.8367,0.8008
11430_Lo1087,0.4925,0.4322,0.955,0.3749,0.4268,0.8648,0.8669,0.689
11430_Lo1094,0.7671,0.6693,0.8671,0.6619,0.739,0.9634,0.9946,0.8204
11430_Lo1095,0.6535,0.6231,0.9462,0.6359,0.5943,0.9376,0.8691,0.8741
11430_Lo1101,0.7546,0.709,0.9809,0.8933,0.9723,0.8722,0.8472,0.9125
11430_Lo1106,0.702,0.6865,0.9446,0.638,0.6818,0.8207,0.8476,0.6593
11430_Lo1123,0.8695,0.9148,0.9107,0.8359,0.9401,0.9435,0.9884,0.8887
11430_Lo1124,0.8318,0.9017,0.7629,0.6578,0.6779,0.8464,0.8662,0.9837
11430_Lo1172,0.7376,0.7426,0.955,0.6739,0.7928,0.7933,0.8953,0.8393
11430_Lo1180,0.9114,0.8922,0.9662,0.9059,0.9155,0.9629,0.8471,0.701
11430_Lo1187,0.8651,0.7843,0.9232,0.8028,0.8018,0.9951,0.9556,0.7379
11430_Lo1199,0.717,0.6117,0.8959,0.6363,0.7361,0.7015,0.8164,0.6577
11430_Lo1203,0.6272,0.4779,0.8598,0.6154,0.7086,0.6878,0.6871,0.6617
11430_Lo1223,0.6059,0.6148,0.9232,0.6818,0.7501,0.7141,0.8196,0.7988
11430_Lo1242,0.8011,0.811,0.8845,0.7862,0.8127,0.8508,0.8514,0.9967
11430_Lo1251,0.5738,0.5487,0.8987,0.5345,0.5198,0.7688,0.6982,0.6343
11430_Lo1253,0.554,0.5963,0.9197,0.6427,0.653,0.4888,0.6281,0.3929
11430_Lo1261,0.6114,0.566,0.9988,0.6497,0.6951,0.8079,0.89,0.6365
11430_Lo1266,0.6056,0.6462,0.8816,0.6182,0.7115,0.7757,0.8609,0.8493
11430_Lo1270,0.6987,0.6532,0.9967,0.5537,0.5467,0.8,0.8065,0.8151
11430_Lo1273,0.7793,0.8524,0.8081,0.7084,0.786,0.938,0.8135,0.8056
11430_Lo1274,0.885,0.9305,0.8633,0.755,0.7598,0.7802,0.6945,0.9561
11430_Lo1280,0.8695,0.9379,0.6027,0.7621,0.7182,0.8579,0.9053,0.8837
11430_Lo1282,0.6594,0.728,0.802,0.6798,0.5891,0.7044,0.7709,0.7216
11430_Lo1284,0.8175,0.9084,0.8192,0.8232,0.7122,0.8706,0.9496,0.9031
11430_Lo1288,0.5562,0.6092,0.8423,0.4882,0.5806,0.874,0.9278,0.7171
11430_Lo1290,0.7797,0.8089,0.876,0.6568,0.6494,0.8967,0.9642,0.9685
11430_Lo1301,0.5871,0.4361,0.8484,0.74,0.8441,0.964,0.9961,0.8601
11430_Lo904,0.6816,0.5943,0.963,0.7456,0.7502,0.7985,0.8363,0.6798
11430_Lp5,0.9325,0.8788,0.957,0.9987,0.9946,0.9988,0.9874,0.9283
11430_ML606,0.854,0.8399,0.9968,0.978,0.8653,0.966,0.8357,0.9275
11430_MS153,0.8282,0.8328,0.9321,0.9921,0.8639,0.9361,0.9969,0.6824
11430_MS71,0.8635,0.9543,0.8341,0.8377,0.739,0.9197,0.8319,0.9848
11430_Mo15W,0.9628,0.9896,0.9211,0.5368,0.3979,0.9242,0.9097,0.6883
11430_Mo17,0.9512,0.9974,0.8028,0.6158,0.5162,0.8677,0.9593,0.6344
11430_N16,0.9266,0.8059,0.6173,0.4818,0.4733,0.7685,0.8902,0.5482
11430_N192,0.9922,0.9787,0.9844,0.9711,0.993,0.9013,0.7785,0.9311
11430_N22,0.91,0.9559,0.7967,0.669,0.5411,0.9545,0.7717,0.8212
11430_N25,0.7658,0.8137,0.9957,0.6924,0.5298,0.9018,0.9454,0.819
11430_N6,0.8352,0.915,0.901,0.8983,0.7668,0.9453,0.714,0.9326
11430_NC290,0.8704,0.8291,0.9428,0.6891,0.5735,0.8423,0.8609,0.9775
11430_NC358,0.9759,0.6021,0.6548,0.5337,0.4226,0.8025,0.993,0.7555
11430_NDB8,0.711,0.729,0.954,0.9414,0.9493,0.8693,0.7443,0.7695
11430_NK764,0.9349,0.9835,0.8556,0.9532,0.9684,0.8143,0.6714,0.8696
11430_NK807,0.9538,0.9836,0.9767,0.9268,0.9342,0.959,0.9523,0.9215
11430_NQ508,0.8251,0.8123,0.9756,0.8119,0.7836,0.8992,0.9286,0.6179
11430_NS701,0.8199,0.8516,0.8908,0.7469,0.7928,0.8994,0.9325,0.7176
11430_Oh02,0.9136,0.9258,0.9625,0.4532,0.4636,0.6695,0.8201,0.4
11430_Oh33,0.827,0.9366,0.7517,0.8692,0.785,0.9042,0.9153,0.9126
11430_Oh40B,0.9232,0.9653,0.9937,0.8008,0.6781,0.8808,0.8903,0.8648
11430_Oh43,0.943,0.8585,0.9473,0.9512,0.8147,0.9355,0.9886,0.8961
11430_Os426,0.859,0.8832,0.9637,0.602,0.5541,0.7004,0.8746,0.4061
11430_P465P,0.9835,0.8505,0.8044,0.8603,0.7222,0.878,0.9982,0.8102
11430_PB116,0.7745,0.8875,0.7291,0.8126,0.8613,0.9444,0.9929,0.7488
11430_PB98TR,0.9062,0.9608,0.9103,0.7046,0.5205,0.7089,0.7861,0.4736
11430_PH207,0.9573,0.9688,0.9905,0.7874,0.8721,0.9437,0.8291,0.978
11430_PHB09,0.9595,0.9939,0.8703,0.8284,0.82,0.9412,0.8664,0.77
11430_PHG35,0.6314,0.6437,0.9488,0.5473,0.6499,0.73,0.6943,0.725
11430_PHG39,0.775,0.8034,0.8957,0.6508,0.7111,0.7304,0.889,0.7859
11430_PHG47,0.966,0.882,0.8557,0.9827,0.9958,0.9164,0.838,0.866
11430_PHG50,0.8915,0.8644,0.9143,0.948,0.9818,0.9772,0.8245,0.9323
11430_PHG71,0.9569,0.9926,0.9469,0.953,0.9873,0.9008,0.7039,0.9116
11430_PHG80,0.8139,0.8421,0.8936,0.7623,0.7978,0.9463,0.7351,0.9295
11430_PHG83,0.8003,0.8513,0.895,0.8188,0.7783,0.9089,0.8929,0.9703
11430_PHG84,0.7942,0.777,0.962,0.5226,0.5437,0.7976,0.9324,0.8394
11430_PHG86,0.8066,0.7498,0.9247,0.7138,0.8362,0.8413,0.9335,0.711
11430_PHH93,0.962,0.9976,0.9169,0.9301,0.9654,0.9182,0.7452,0.9148
11430_PHJ40,0.9433,0.9867,0.927,0.9374,0.919,0.9516,0.7892,0.9135
11430_PHK29,0.6775,0.6225,0.9751,0.7464,0.6382,0.8945,0.991,0.7446
11430_PHK76,0.8169,0.8458,0.9221,0.7742,0.8823,0.7851,0.8181,0.8023
11430_PHR36,0.8737,0.7845,0.882,0.8453,0.8001,0.9473,0.7772,0.7464
11430_PHT77,0.9055,0.8221,0.9082,0.8119,0.7667,0.9114,0.9806,0.8662
11430_PHV63,0.8046,0.6685,0.8223,0.6503,0.6609,0.9252,0.8311,0.8208
11430_PHW65,0.6764,0.6831,0.9459,0.5818,0.6266,0.9684,0.8978,0.9374
11430_PHZ51,0.761,0.713,0.9622,0.6153,0.6333,0.5503,0.7061,0.531
11430_Pa36,0.5075,0.6841,0.5095,0.7897,0.8965,0.8442,0.7054,0.9294
11430_Pa405,0.7713,0.9223,0.6958,0.9316,0.7819,0.9901,0.9105,0.8661
11430_Pa91,0.8782,0.8517,0.8965,0.5091,0.4662,0.8422,0.9785,0.7029
11430_SC-Malawi,0.9236,0.9567,0.7756,0.3645,0.2774,0.8676,0.979,0.4884
11430_SGI061,0.7562,0.788,0.9226,0.8231,0.8974,0.7117,0.7488,0.664
11430_UH250,0.918,0.947,0.8913,0.7874,0.8028,0.8868,0.7456,0.9762
11430_UH304,0.9459,0.9362,0.9655,0.8406,0.8415,0.889,0.8242,0.986
11430_UH_2500,0.6857,0.8436,0.642,0.9709,0.9287,0.9329,0.85,0.987
11430_UH_6102,0.9578,0.9993,0.9195,0.8525,0.8818,0.9944,0.8302,0.9811
11430_UH_6179,0.9702,0.9837,0.9457,0.8235,0.8948,0.8912,0.8848,0.829
11430_UH_P024,0.9232,0.9472,0.9414,0.8079,0.8543,0.9407,0.9195,0.9806
11430_UH_P060,0.8967,0.9179,0.9113,0.8337,0.9107,0.9229,0.8012,0.9698
11430_UH_P064,0.982,0.9451,0.9083,0.9327,0.9032,0.9257,0.8426,0.8246
11430_UH_P074,0.982,0.9316,0.9642,0.7839,0.8398,0.9602,0.831,0.8838
11430_UH_P087,0.8345,0.8413,0.9789,0.8031,0.8547,0.9952,0.855,0.8572
11430_UH_P089,0.9819,0.9387,0.9075,0.9806,0.9048,0.9226,0.9525,0.9851
11430_UH_P104,0.9019,0.9054,0.8931,0.6808,0.7226,0.9073,0.8069,0.9964
11430_UH_P115,0.9883,0.9368,0.7845,0.9151,0.9567,0.9304,0.9764,0.8109
11430_UH_P128,0.9856,0.9778,0.9672,0.8971,0.9949,0.972,0.8776,0.8582
11430_UH_P148,0.9599,0.9706,0.8801,0.8351,0.8645,0.9028,0.8832,0.8818
11430_UH_S018,0.909,0.7852,0.7955,0.8523,0.7094,0.8893,0.9173,0.7378
11430_UH_S020,0.9028,0.8952,0.9775,0.7303,0.728,0.7919,0.8311,0.5688
11430_UH_S025,0.9876,0.9531,0.8194,0.9481,0.9933,0.9971,0.8831,0.9564
11430_Va26,0.957,0.885,0.9692,0.8928,0.7802,0.6492,0.7951,0.6797
11430_W117,0.8128,0.8269,0.9082,0.7483,0.9705,0.7235,0.6543,0.8619
11430_W153R,0.9006,0.8635,0.9175,0.8271,0.9956,0.9576,0.8075,0.9027
11430_W182E,0.7782,0.7692,0.9794,0.7235,0.7875,0.8526,0.6771,0.9393
11430_W23,0.7208,0.9278,0.6041,0.9232,0.8156,0.7092,0.9027,0.7059
11430_W602S,0.8927,0.8805,0.6831,0.9738,0.7453,0.9941,0.8616,0.8444
11430_W604S,0.9593,0.9722,0.9786,0.7374,0.7639,0.9186,0.9087,0.7885
11430_W64A,0.9397,0.9832,0.9496,0.9762,0.9136,0.8825,0.8396,0.9832
11430_W9,0.6959,0.9169,0.5408,0.8343,0.9998,0.9173,0.7533,0.9551
11430_W95115,0.799,0.8216,0.9315,0.9977,0.87,0.8848,0.6914,0.9195
11430_Wf9,0.9187,0.9672,0.9948,0.8657,0.7171,0.8936,0.9565,0.8767
A3_A310,0.8832,0.7256,0.6925,0.9974,0.7864,0.9977,0.874,0.6953
A3_A347,0.8547,0.7351,0.7962,0.8666,0.8773,0.7447,0.9282,0.9353
A3_A374,0.7751,0.688,0.9179,0.8562,0.9129,0.9355,0.9718,0.9365
A3_A375,0.9354,0.9704,0.9395,0.9911,0.8162,0.9699,0.8767,0.9572
A3_A554,0.9372,0.837,0.9079,0.7169,0.5751,0.7523,0.7238,0.9145
A3_AS5707,0.7739,0.8157,0.8416,0.7312,0.9194,0.8486,0.8119,0.7652
A3_B100,0.8537,0.9676,0.7756,0.8919,0.8784,0.7173,0.8241,0.8576
A3_B104,0.7854,0.9983,0.4853,0.7986,0.9102,0.8663,0.9551,0.9739
A3_B105,0.9706,0.9219,0.6943,0.9981,0.9346,0.7852,0.843,0.811
A3_B106,0.9512,0.9768,0.8334,0.6707,0.8479,0.9741,0.9726,0.9414
A3_B107,0.7844,0.9804,0.5545,0.9078,0.9163,0.8116,0.7547,0.6862
A3_B108,0.9551,0.9686,0.8456,0.8728,0.9087,0.8939,0.9647,0.9963
A3_B109,0.7383,0.894,0.6484,0.894,0.8877,0.9782,0.83,0.7759
A3_B110,0.7207,0.8971,0.6293,0.8018,0.971,0.9389,0.9301,0.7637
A3_B113,0.8721,0.8061,0.9703,0.8745,0.9735,0.8822,0.8873,0.9909
A3_B37,0.9258,0.9682,0.687,0.7498,0.8655,0.9988,0.9937,0.9637
A3_B73,0.784,0.8513,0.8505,0.9185,0.8635,0.9846,0.9476,0.728
A3_B84,0.7485,0.9903,0.6015,0.8208,0.9832,0.9712,0.7954,0.7526
A3_B89,0.9096,0.7782,0.8268,0.8152,0.797,0.7832,0.8208,0.8338
A3_B97,0.6036,0.7736,0.6456,0.7895,0.9705,0.9574,0.9307,0.8082
A3_B98,0.8455,0.8265,0.8891,0.7604,0.7855,0.72,0.7487,0.8347
A3_C103,0.9815,0.9198,0.6398,0.6297,0.6542,0.9052,0.797,0.8608
A3_CO109,0.7148,0.6266,0.8433,0.7312,0.6751,0.8228,0.9013,0.9266
A3_CR1Ht,0.9995,0.8077,0.6255,0.8329,0.6729,0.6939,0.8106,0.8904
A3_D09,0.9334,0.897,0.9856,0.5521,0.4504,0.8504,0.9091,0.9771
A3_DE811,0.7196,0.7705,0.8095,0.6994,0.9001,0.9737,0.9414,0.9457
A3_DK4676A,0.9956,0.7583,0.5235,0.8925,0.6033,0.8086,0.6967,0.8846
A3_DK78010,0.8391,0.9464,0.5946,0.9992,0.6752,0.8313,0.7583,0.8142
A3_DK78371A,0.8054,0.9976,0.537,0.746,0.9517,0.8889,0.8773,0.9574
A3_DKFAPW,0.9552,0.9933,0.8696,0.8997,0.8001,0.8221,0.7622,0.9974
A3_DKFBHJ,0.9876,0.8129,0.6918,0.9659,0.7753,0.9516,0.8824,0.9129
A3_DKIBO2,0.9618,0.7909,0.6789,0.6573,0.5457,0.9572,0.9079,0.9091
A3_DKMBST,0.8019,0.9273,0.6933,0.7397,0.9641,0.9992,0.9626,0.9567
A3_EA1027,0.7524,0.5753,0.5956,0.7545,0.9367,0.8585,0.8271,0.7384
A3_EA1163,0.7052,0.6725,0.9993,0.6524,0.656,0.9283,0.9576,0.9546
A3_EA3076,0.9797,0.923,0.8277,0.8741,0.9461,0.9848,0.8346,0.7214
A3_EC136,0.9105,0.7615,0.683,0.6629,0.5661,0.8011,0.7547,0.7117
A3_EC140,0.8755,0.8826,0.9583,0.8539,0.722,0.812,0.8599,0.8579
A3_EC151,0.9785,0.9929,0.9653,0.932,0.9224,0.6039,0.5505,0.9224
A3_EC169,0.9666,0.9069,0.9771,0.8277,0.6018,0.5682,0.4604,0.856
A3_EC175,0.9047,0.7963,0.8944,0.8541,0.8251,0.9667,0.8724,0.961
A3_EC232,0.9512,0.7701,0.6652,0.933,0.7275,0.7717,0.7135,0.8986
A3_EC242C,0.8998,0.9932,0.8337,0.6298,0.4759,0.8349,0.8535,0.7675
A3_EC334,0.8913,0.9933,0.7885,0.9527,0.9566,0.6502,0.6256,0.8002
A3_EP10,0.7327,0.6415,0.8373,0.9438,0.8607,0.6939,0.6984,0.8686
A3_EP2008-18,0.9332,0.8961,0.5884,0.9634,0.8601,0.9894,0.9631,0.9085
A3_EP2008-22,0.9966,0.8102,0.5532,0.8718,0.7567,0.7328,0.6415,0.6963
A3_EP29,0.8203,0.9377,0.7752,0.9169,0.746,0.7614,0.7851,0.9437
A3_EP51,0.8671,0.7645,0.6851,0.7447,0.754,0.508,0.4291,0.6591
A3_EP52,0.9192,0.9033,0.6028,0.8166,0.9499,0.9324,0.8779,0.8612
A3_EP55,0.8646,0.859,0.9829,0.9815,0.8669,0.8719,0.9895,0.7666
A3_EP67,0.8456,0.8304,0.963,0.7514,0.6746,0.4913,0.4879,0.9744
A3_EP72,0.7329,0.8919,0.6718,0.8885,0.9514,0.7366,0.6447,0.926
